scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script,Image Path
1,DallE3,59.58,5.17,20.72,4.63,7.20,glitch,glitch,curling,"Ella is at the curling rink, excited for her afternoon practice.As she starts practice, she realizes she's put on mismatched socks, one red and one blue.Her coach simply smiles and says it's no big deal, and practice continues smoothly.Ella giggles, realizing it’s just a small mistake with no lasting impact.“How big is this problem?” she wonders, knowing it’s just a glitch.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_1_DallE3.png
1,GPTimage,67.12,5.17,21.87,9.27,1.94,glitch,glitch,curling,"Ella is at the curling rink, excited for her afternoon practice.As she starts practice, she realizes she's put on mismatched socks, one red and one blue.Her coach simply smiles and says it's no big deal, and practice continues smoothly.Ella giggles, realizing it’s just a small mistake with no lasting impact.“How big is this problem?” she wonders, knowing it’s just a glitch.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_1_GPTimage.png
2,DallE3,56.00,7.86,14.89,4.35,7.73,glitch,glitch,curling,"Oliver arrives at the curling rink for a friendly match, excited to play with his team.He realizes he forgot his favorite curling broom at home, which he believes helps him play better.Thankfully, his coach notices and lends him a spare broom from the supply closet.Oliver feels relieved as he can still participate with a different broom.As he prepares to join the game, Oliver wonders, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_2_DallE3.png
2,GPTimage,63.38,7.86,21.16,8.64,2.01,glitch,glitch,curling,"Oliver arrives at the curling rink for a friendly match, excited to play with his team.He realizes he forgot his favorite curling broom at home, which he believes helps him play better.Thankfully, his coach notices and lends him a spare broom from the supply closet.Oliver feels relieved as he can still participate with a different broom.As he prepares to join the game, Oliver wonders, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_2_GPTimage.png
3,DallE3,63.00,6.84,22.85,4.53,7.39,glitch,glitch,singing,"Emily, a 10-year-old, was getting ready to sing at her school's talent show.Just before her performance, she realized she left her lucky microphone charm at home.Feeling nervous, she quickly borrowed a friend's charm for comfort.The temporary fix calmed her nerves, knowing that the show would still go on smoothly.Emily asked herself, 'How big is this problem?' realizing it was just a glitch.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_3_DallE3.png
3,GPTimage,70.36,6.84,21.39,8.82,1.99,glitch,glitch,singing,"Emily, a 10-year-old, was getting ready to sing at her school's talent show.Just before her performance, she realized she left her lucky microphone charm at home.Feeling nervous, she quickly borrowed a friend's charm for comfort.The temporary fix calmed her nerves, knowing that the show would still go on smoothly.Emily asked herself, 'How big is this problem?' realizing it was just a glitch.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_3_GPTimage.png
4,DallE3,60.58,6.73,19.70,4.37,6.88,glitch,glitch,basketball,"Alex was excited for basketball practice but realized he forgot his water bottle at home.It's a small issue because the school gym has a water fountain nearby where he can refill.Alex feels a bit annoyed, but knows he won’t be thirsty for too long.He thinks, 'This is just a glitch, not a big problem.'With a quick drink from the fountain, he's ready to join the game.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_4_DallE3.png
4,GPTimage,68.54,6.73,22.90,9.41,1.90,glitch,glitch,basketball,"Alex was excited for basketball practice but realized he forgot his water bottle at home.It's a small issue because the school gym has a water fountain nearby where he can refill.Alex feels a bit annoyed, but knows he won’t be thirsty for too long.He thinks, 'This is just a glitch, not a big problem.'With a quick drink from the fountain, he's ready to join the game.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_4_GPTimage.png
5,DallE3,58.28,3.64,22.08,4.44,7.63,glitch,glitch,running,"Liam was excited to participate in the school's mini-marathon after weeks of practice.Right before his race, he realized he had forgotten his lucky running shoes at home.Luckily, he had his regular sneakers in his backpack, which fit him just fine.Liam wondered if it would affect his run but knew he could still race without any issues.He asked himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_5_DallE3.png
5,GPTimage,66.16,3.64,20.49,9.20,2.02,glitch,glitch,running,"Liam was excited to participate in the school's mini-marathon after weeks of practice.Right before his race, he realized he had forgotten his lucky running shoes at home.Luckily, he had his regular sneakers in his backpack, which fit him just fine.Liam wondered if it would affect his run but knew he could still race without any issues.He asked himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_5_GPTimage.png
6,DallE3,58.26,5.34,19.40,4.50,7.56,glitch,glitch,lacrosse,"Alex, a 10-year-old, realizes they've forgotten their lacrosse stick at home on the way to practice.Luckily, the coach has extra sticks that everyone can borrow during practice.Alex uses one of the extra sticks and feels relieved they can still play.The borrowed stick works well enough, but it's not quite like their own.Alex wonders, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_6_DallE3.png
6,GPTimage,65.74,5.34,21.46,9.01,1.89,glitch,bummer,lacrosse,"Alex, a 10-year-old, realizes they've forgotten their lacrosse stick at home on the way to practice.Luckily, the coach has extra sticks that everyone can borrow during practice.Alex uses one of the extra sticks and feels relieved they can still play.The borrowed stick works well enough, but it's not quite like their own.Alex wonders, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_6_GPTimage.png
7,DallE3,64.12,5.85,20.93,4.65,7.84,glitch,glitch,ski,"Ella, a 12-year-old girl, is at a ski resort with her family, excited to hit the slopes.As she reaches the top of the slope, she ties her boots and realizes she forgot her ski goggles.Fortunately, her older brother offers her his extra pair of goggles, just a bit big but they work fine.Ella feels relieved and wonders if forgetting her goggles was a big problem after all.""How big is this problem?"" she asks herself as she enjoys the rest of the day skiing with her family.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_7_DallE3.png
7,GPTimage,72.43,5.85,24.84,9.37,2.48,glitch,glitch,ski,"Ella, a 12-year-old girl, is at a ski resort with her family, excited to hit the slopes.As she reaches the top of the slope, she ties her boots and realizes she forgot her ski goggles.Fortunately, her older brother offers her his extra pair of goggles, just a bit big but they work fine.Ella feels relieved and wonders if forgetting her goggles was a big problem after all.""How big is this problem?"" she asks herself as she enjoys the rest of the day skiing with her family.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_7_GPTimage.png
8,DallE3,56.98,9.41,13.75,4.27,7.44,glitch,glitch,ski,"Liam excitedly hit the ski slopes, looking forward to a perfect day on the snow.As he started skiing, his goggles suddenly started fogging up, making it hard to see.Liam realized he had left his anti-fog spray at home, but quickly remembered he had a spare pair of goggles in his backpack.He put on the backup goggles and could see clearly again, ready to continue skiing.Liam thought to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_8_DallE3.png
8,GPTimage,64.81,9.41,22.11,8.80,2.21,glitch,glitch,ski,"Liam excitedly hit the ski slopes, looking forward to a perfect day on the snow.As he started skiing, his goggles suddenly started fogging up, making it hard to see.Liam realized he had left his anti-fog spray at home, but quickly remembered he had a spare pair of goggles in his backpack.He put on the backup goggles and could see clearly again, ready to continue skiing.Liam thought to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_8_GPTimage.png
9,DallE3,58.32,5.52,21.03,4.38,7.57,glitch,glitch,tryout,"Riley, a 10-year-old boy, eagerly heads to soccer tryouts but accidentally leaves his cleats at home.Realizing his mistake, he feels a bit panicked but then remembers he has an old pair of cleats in his backpack.He puts them on, noticing they're a little tight but they still fit well enough for the tryouts.While warming up, Riley's mind races with thoughts of how this might affect his performance.Riley asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_9_DallE3.png
9,GPTimage,66.46,5.52,19.82,8.99,2.39,glitch,glitch,tryout,"Riley, a 10-year-old boy, eagerly heads to soccer tryouts but accidentally leaves his cleats at home.Realizing his mistake, he feels a bit panicked but then remembers he has an old pair of cleats in his backpack.He puts them on, noticing they're a little tight but they still fit well enough for the tryouts.While warming up, Riley's mind races with thoughts of how this might affect his performance.Riley asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_9_GPTimage.png
10,DallE3,70.14,7.36,22.91,3.47,6.05,glitch,glitch,dancing,"In a bright, sunny dance studio, Emily, a 10-year-old girl, is practicing her routine with her friends.As they're about to rehearse their final number, Emily realizes she forgot her special dance shoes at home.Feeling a bit stressed, she spots another pair of shoes in her bag that will work temporarily.Emily thinks to herself, ""How big is this problem?"" realizing she can still dance comfortably.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_10_DallE3.png
10,GPTimage,76.83,7.36,30.35,7.20,1.95,glitch,bummer,dancing,"In a bright, sunny dance studio, Emily, a 10-year-old girl, is practicing her routine with her friends.As they're about to rehearse their final number, Emily realizes she forgot her special dance shoes at home.Feeling a bit stressed, she spots another pair of shoes in her bag that will work temporarily.Emily thinks to herself, ""How big is this problem?"" realizing she can still dance comfortably.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_10_GPTimage.png
11,DallE3,61.63,8.66,19.93,5.00,7.63,glitch,glitch,ski,"Jake eagerly heads to the ski resort, excited for a day on the slopes.When he opens his bag, he realizes he forgot his favorite ski goggles at home.Fortunately, he finds a spare pair of goggles in his backpack.The weather is clear, so it wouldn't have been a big deal if he had to ski without them.Jake asks himself, 'How big is this problem?' and feels relieved that it's just a glitch.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_11_DallE3.png
11,GPTimage,69.30,8.66,20.42,9.55,2.03,glitch,glitch,ski,"Jake eagerly heads to the ski resort, excited for a day on the slopes.When he opens his bag, he realizes he forgot his favorite ski goggles at home.Fortunately, he finds a spare pair of goggles in his backpack.The weather is clear, so it wouldn't have been a big deal if he had to ski without them.Jake asks himself, 'How big is this problem?' and feels relieved that it's just a glitch.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_11_GPTimage.png
12,DallE3,66.84,13.30,21.05,4.74,7.44,glitch,bummer,ski,"Lily, age 11, puts on her ski boots excitedly on a sunny winter morning at the ski resort.As she reaches the slopes, she realizes she forgot her favorite ski goggles at home.Thankfully, her mom offers a spare pair they brought along, which fit just fine.Lily feels relieved but wonders if she should keep practicing with these instead.""How big is this problem?"" she asks herself, knowing she'll still enjoy her day on the slopes.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_12_DallE3.png
12,GPTimage,74.49,13.30,20.31,9.22,2.13,glitch,glitch,ski,"Lily, age 11, puts on her ski boots excitedly on a sunny winter morning at the ski resort.As she reaches the slopes, she realizes she forgot her favorite ski goggles at home.Thankfully, her mom offers a spare pair they brought along, which fit just fine.Lily feels relieved but wonders if she should keep practicing with these instead.""How big is this problem?"" she asks herself, knowing she'll still enjoy her day on the slopes.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_12_GPTimage.png
13,DallE3,58.62,8.75,14.30,4.28,7.82,glitch,glitch,tennis,"Gwen arrived at the tennis court, excited for her weekly practice session.As she unpacked her bag, she realized she’d forgotten her favorite water bottle.Luckily, the tennis club had a water fountain where she could refill an extra bottle from her bag.The water didn’t taste as good, but it would do for practice.Gwen wondered to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_13_DallE3.png
13,GPTimage,65.72,8.75,23.47,8.50,1.86,glitch,glitch,tennis,"Gwen arrived at the tennis court, excited for her weekly practice session.As she unpacked her bag, she realized she’d forgotten her favorite water bottle.Luckily, the tennis club had a water fountain where she could refill an extra bottle from her bag.The water didn’t taste as good, but it would do for practice.Gwen wondered to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_13_GPTimage.png
14,DallE3,65.40,7.72,24.29,3.43,7.71,glitch,glitch,field trip,"Samantha, a 7-year-old girl, is excited about her school field trip to the zoo.As she gets on the bus, Samantha realizes she forgot to pack her favorite snack.Her teacher assures her that there will be snacks available at the zoo.Samantha wonders, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_14_DallE3.png
14,GPTimage,71.40,7.72,22.25,6.88,1.57,glitch,glitch,field trip,"Samantha, a 7-year-old girl, is excited about her school field trip to the zoo.As she gets on the bus, Samantha realizes she forgot to pack her favorite snack.Her teacher assures her that there will be snacks available at the zoo.Samantha wonders, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_14_GPTimage.png
15,DallE3,55.57,5.74,17.32,3.48,5.79,glitch,glitch,volleyball,"Jamie, a 15-year-old boy, was getting ready for his volleyball game in the school gym.As he reached into his bag, he realized he'd forgotten his lucky volleyball socks at home.He felt a little anxious but remembered there were spare socks in the locker room.Relieved, he thought, 'How big is this problem?' as he grabbed the spare socks.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_15_DallE3.png
15,GPTimage,62.21,5.74,23.24,7.18,1.76,glitch,glitch,volleyball,"Jamie, a 15-year-old boy, was getting ready for his volleyball game in the school gym.As he reached into his bag, he realized he'd forgotten his lucky volleyball socks at home.He felt a little anxious but remembered there were spare socks in the locker room.Relieved, he thought, 'How big is this problem?' as he grabbed the spare socks.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_15_GPTimage.png
16,DallE3,62.10,8.66,20.15,4.45,7.42,glitch,glitch,class,"Emma, a 9-year-old girl, forgot her pencil case at home before her math class.She realizes it just as the teacher starts handing out a quick math quiz.Emma remembers that there are spare pencils at the back of the classroom she can use.She knows she can still complete the quiz on time with the spare pencils.Emma thinks to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_16_DallE3.png
16,GPTimage,69.26,8.66,21.42,8.64,1.96,glitch,glitch,class,"Emma, a 9-year-old girl, forgot her pencil case at home before her math class.She realizes it just as the teacher starts handing out a quick math quiz.Emma remembers that there are spare pencils at the back of the classroom she can use.She knows she can still complete the quiz on time with the spare pencils.Emma thinks to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_16_GPTimage.png
17,DallE3,62.32,8.31,18.53,4.64,8.12,glitch,bummer,curling,"Alex, a 12-year-old boy, arrives at the curling rink for his practice session.As he gears up, he realizes he forgot his new curling gloves at home.Fortunately, he finds an old pair of gloves in his bag that will still work for practice.The practice might not feel the same, but he knows he can manage with the backup gloves.Alex wonders to himself, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_17_DallE3.png
17,GPTimage,70.06,8.31,22.73,9.20,1.99,glitch,glitch,curling,"Alex, a 12-year-old boy, arrives at the curling rink for his practice session.As he gears up, he realizes he forgot his new curling gloves at home.Fortunately, he finds an old pair of gloves in his bag that will still work for practice.The practice might not feel the same, but he knows he can manage with the backup gloves.Alex wonders to himself, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_17_GPTimage.png
18,DallE3,57.85,6.13,19.68,4.47,7.82,glitch,glitch,class,"Samantha, a 10-year-old girl, realizes just before an art class that she forgot to bring her favorite colored pencils.Luckily, her friend Lucas has a spare set of colored pencils that he offers to share with her.Samantha accepts the pencils and manages to start her art project without any delay.She feels a wave of relief knowing that she can still participate.As she begins to draw, she asks herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_18_DallE3.png
18,GPTimage,65.40,6.13,19.74,8.68,2.24,glitch,glitch,class,"Samantha, a 10-year-old girl, realizes just before an art class that she forgot to bring her favorite colored pencils.Luckily, her friend Lucas has a spare set of colored pencils that he offers to share with her.Samantha accepts the pencils and manages to start her art project without any delay.She feels a wave of relief knowing that she can still participate.As she begins to draw, she asks herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_18_GPTimage.png
19,DallE3,61.53,10.77,20.22,4.45,7.20,glitch,bummer,volleyball,"Sarah was excited for her volleyball game at school, but she forgot to bring her lucky knee pads.Luckily, her friend Emma had an extra pair and offered them to Sarah.Sarah hesitated, wondering if she could play as well without her lucky gear.She realized that the knee pads might not make a difference in her performance after all.She asked herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_19_DallE3.png
19,GPTimage,69.02,10.77,18.90,9.04,1.86,glitch,bummer,volleyball,"Sarah was excited for her volleyball game at school, but she forgot to bring her lucky knee pads.Luckily, her friend Emma had an extra pair and offered them to Sarah.Sarah hesitated, wondering if she could play as well without her lucky gear.She realized that the knee pads might not make a difference in her performance after all.She asked herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_19_GPTimage.png
20,DallE3,62.28,8.01,20.43,4.52,7.38,glitch,glitch,birthday party,"Emma was excited about her birthday party at the park.Just as the party started, the wind blew away some of the decorations.Emma felt a bit sad but remembered they had extra decorations.They quickly replaced the lost decorations and continued the party.Emma wondered, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_20_DallE3.png
20,GPTimage,69.34,8.01,21.94,8.75,1.72,glitch,bummer,birthday party,"Emma was excited about her birthday party at the park.Just as the party started, the wind blew away some of the decorations.Emma felt a bit sad but remembered they had extra decorations.They quickly replaced the lost decorations and continued the party.Emma wondered, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_20_GPTimage.png
21,DallE3,56.59,5.43,18.66,4.68,7.57,glitch,bummer,ski,"Liam, a 10-year-old boy, is excitedly getting ready for his first ski lesson.As he heads outside, he realizes he forgot his ski gloves in the car.Luckily, the ski shop nearby has extra gloves he can borrow for the day.Even though he feels a bit flustered, Liam knows it's just a small hiccup.He asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_21_DallE3.png
21,GPTimage,64.13,5.43,20.24,9.25,1.86,glitch,glitch,ski,"Liam, a 10-year-old boy, is excitedly getting ready for his first ski lesson.As he heads outside, he realizes he forgot his ski gloves in the car.Luckily, the ski shop nearby has extra gloves he can borrow for the day.Even though he feels a bit flustered, Liam knows it's just a small hiccup.He asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_21_GPTimage.png
22,DallE3,71.20,7.46,25.25,4.27,7.46,glitch,bummer,tryout,"Eli, a 10-year-old boy, is excited for his soccer tryout at the local park.As he arrives, he realizes he forgot his water bottle at home.Luckily, his friend offers to share his water with Eli.Eli knows he can still do well because he has something to drink now.""How big is this problem?"" he wonders, feeling more relaxed.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_22_DallE3.png
22,GPTimage,78.69,7.46,26.76,8.84,1.81,glitch,glitch,tryout,"Eli, a 10-year-old boy, is excited for his soccer tryout at the local park.As he arrives, he realizes he forgot his water bottle at home.Luckily, his friend offers to share his water with Eli.Eli knows he can still do well because he has something to drink now.""How big is this problem?"" he wonders, feeling more relaxed.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_22_GPTimage.png
23,DallE3,61.74,7.52,20.46,4.41,7.73,glitch,glitch,playing video game,"Jamie, a 10-year-old, is excited to play his favorite video game at home.He suddenly notices that the game is glitching, causing his character to move strangely.Jamie realizes it’s just a minor technical issue and decides to restart the game.After the restart, Jamie’s game runs smoothly again, and he can continue playing.Jamie asks himself, ""How big is this problem?” realizing it was just a glitch.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_23_DallE3.png
23,GPTimage,69.76,7.52,21.62,9.18,2.24,glitch,glitch,playing video game,"Jamie, a 10-year-old, is excited to play his favorite video game at home.He suddenly notices that the game is glitching, causing his character to move strangely.Jamie realizes it’s just a minor technical issue and decides to restart the game.After the restart, Jamie’s game runs smoothly again, and he can continue playing.Jamie asks himself, ""How big is this problem?” realizing it was just a glitch.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_23_GPTimage.png
24,DallE3,57.88,7.88,19.82,3.71,5.94,glitch,glitch,playing video game,"Jaden was excited to play his favorite video game after finishing his homework.As he started a new level, he noticed the game lagging, and the screen occasionally froze.Jaden realized it was just a temporary glitch and quickly restarted the game.The game resumed smoothly, but he wondered, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_24_DallE3.png
24,GPTimage,64.53,7.88,20.54,7.61,1.63,glitch,glitch,playing video game,"Jaden was excited to play his favorite video game after finishing his homework.As he started a new level, he noticed the game lagging, and the screen occasionally froze.Jaden realized it was just a temporary glitch and quickly restarted the game.The game resumed smoothly, but he wondered, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_24_GPTimage.png
25,DallE3,60.96,6.54,21.33,4.28,6.93,glitch,glitch,after school club,"In the after-school club, Jamie realizes he left his art supplies at home.He feels anxious because the club leader planned an art project today.Luckily, the club has some extra supplies that Jamie can borrow.Jamie takes a deep breath and thinks to himself:""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_25_DallE3.png
25,GPTimage,67.96,6.54,21.88,8.57,1.70,glitch,bummer,after school club,"In the after-school club, Jamie realizes he left his art supplies at home.He feels anxious because the club leader planned an art project today.Luckily, the club has some extra supplies that Jamie can borrow.Jamie takes a deep breath and thinks to himself:""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_25_GPTimage.png
26,DallE3,61.43,10.78,19.25,4.27,7.06,glitch,glitch,tryout,"Emily was at her soccer tryouts when she realized she left her lucky socks at home.Luckily, she remembered she had a spare pair of socks in her backpack.She quickly put on the spare socks and prepared for her tryout.Knowing she had a backup made her feel a bit more at ease.Emily thought to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_26_DallE3.png
26,GPTimage,68.47,10.78,20.07,8.46,1.84,glitch,glitch,tryout,"Emily was at her soccer tryouts when she realized she left her lucky socks at home.Luckily, she remembered she had a spare pair of socks in her backpack.She quickly put on the spare socks and prepared for her tryout.Knowing she had a backup made her feel a bit more at ease.Emily thought to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_26_GPTimage.png
27,DallE3,60.91,8.25,18.25,4.41,7.07,glitch,glitch,lacrosse,"Mia realized she forgot her lucky headband at home before her lacrosse game.She felt a bit nervous without it, but knew she could still play without any problems.Her best friend offered to lend her a spare headband from her bag.Mia smiled, putting on the headband and feeling ready for the game.She asked herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_27_DallE3.png
