scenario,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script
1,58.7,5.26,20.38,8.05,2.03,disaster,disaster,soccer,"Liam was playing soccer in the park with his friends when lightning struck a nearby tree.The tree caught fire, and everyone started to panic, running away from the danger.The coaches quickly gathered the kids to a safer spot, making sure everyone was accounted for.Firefighters arrived promptly, but Liam worried about what could have happened if they hadn't been so quick.Liam asked himself, 'How big is this problem?'"
2,72.74,6.45,20.78,8.13,2.01,disaster,disaster,vacation,"Olivia packed her bags excitedly for a family vacation to the mountains.As they drove up the winding road, dark clouds started gathering quickly.Suddenly, the sky erupted in a violent storm, making it impossible for them to continue safely.With no quick way to escape and the storm growing stronger, they worried about their safety.Olivia asked herself nervously, ""How big is this problem?"""
3,61.41,4.4,20.63,7.87,1.77,disaster,bummer,playing video game,"In Taylor's neighborhood, a severe storm hit, knocking out the power.Taylor was in the middle of a video game tournament online with friends.Suddenly, everything went dark, and the game crashed, potentially ruining their team’s chances.Taylor had no backup power, and the storm could last for days.Taylor wondered, ""How big is this problem?"""
4,65.73,5.35,23.73,8.42,2.1,disaster,bummer,after school club,"Sophia was excited for her after-school art club, where she loved painting with her friends.As she arrived, the teacher announced that a fire had broken out in their art supply room, causing significant damage.The students were told they couldn’t use the art room for the foreseeable future.Sophia felt scared and worried about the safety of her friends and the loss of her artwork.She whispered to herself, ""How big is this problem?"""
5,65.38,4.62,22.68,8.39,1.89,disaster,disaster,swimming,"Alice was excited for her first summer swim camp by the lake.Suddenly, a strong storm approached, causing the water to swell dangerously.All campers were rushed to safety, but their tents and belongings got swept away.Without their supplies, everyone faced uncertainty about their safety and accommodations.Alice wondered, ""How big is this problem?"""
6,64.09,5.69,20.5,8.05,2.22,disaster,disaster,art,"Meet Emily, a 10-year-old girl, who's showcasing her artwork at the local community center.As the event begins, a small fire breaks out, threatening to destroy Emily's precious paintings.There's no quick way to put out the fire, and the paintings are in danger of being lost forever.Emily knows that without help, the loss of her artwork could have a significant impact on her dreams.Emily asks herself, ""How big is this problem?"""
7,66.39,6.83,21.49,7.65,2.02,disaster,bummer,after school club,"Ellie was excited for art class at the after school club when suddenly, smoke filled the room.The teacher hurriedly guided everyone outside, explaining that there might be a fire in the building.The fire department arrived quickly, and the club had to be closed for several weeks for safety checks and repairs.Ellie realized they wouldn’t have art classes or see her friends for a long time.Ellie thought to herself, ""How big is this problem?"""
8,64.49,5.17,20.2,8.25,2.11,disaster,disaster,swimming,"James, a 10-year-old boy, goes to the swimming pool with his family on a sunny afternoon.Suddenly, his little sister accidentally falls into the deep end without her floaties.James watches in panic as his parents rush to rescue her, feeling helpless and scared.There’s no immediate backup plan, and the situation feels overwhelming as everyone focuses on saving his sister.James asks himself, ""How big is this problem?"""
9,63.25,4.95,21.02,8.03,1.92,disaster,disaster,playing video game,"In the middle of a competitive online game, Alex’s television caught fire due to an electrical fault.No one was hurt, but the fire caused significant damage to the living room.The cost to repair the damages is high, and it will take a long time to restore everything.There is no quick fix or backup plan to address this kind of disaster.Alex wonders, ""How big is this problem?"""
10,64.59,10.33,20.4,8.43,2.42,disaster,disaster,birthday party,"Emma's family was excitedly preparing for her birthday party when the news came that a fire had broken out in their home.The fire caused significant damage, and they had to leave their house immediately without grabbing anything.There was no backup location for the birthday party, and their home was uninhabitable for the foreseeable future.Emma realized that her birthday plans were gone, and they would need significant help to recover and rebuild.Emma sat down, overwhelmed, and asked herself, ""How big is this problem?"""
